,Query ID,Target ID,Affinity Threshold (nM),P-Value,Max Tc,Cut Sum,Z-Score,Name,Description,Query Smiles
155,compound_1,NDUS6_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
156,compound_1,NDUS7_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
157,compound_1,NDUS8_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
158,compound_1,NDUV2_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFV2,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
159,compound_1,NDUV1_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
160,compound_1,NDUV3_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFV3,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
161,compound_1,NEMO_HUMAN,5,1.22e-24,0.5652,1.4769999999999999,42.4825,IKBKG,NF-kappa-B essential modulator,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
162,compound_1,NF2L2_HUMAN,5,1.2969999999999996e-52,0.8857,4.824,92.7038,NFE2L2,Nuclear factor erythroid 2-related factor 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
163,compound_1,NFKB1_HUMAN,5,4.746999999999999e-43,0.8857,4.0823,75.5342,NFKB1,Nuclear factor NF-kappa-B p105 subunit,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
164,compound_1,NOD2_HUMAN,5,4.8959999999999996e-08,0.4375,2.0986,12.674000000000001,NOD2,Nucleotide-binding oligomerization domain-containing protein 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
166,compound_1,NOX4_HUMAN,5,7.1e-06,0.4138,1.0333,8.7936,NOX4,NADPH oxidase 4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
167,compound_1,NQO2_HUMAN,5,1.636e-09,0.4359,2.6902,15.3241,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone],COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
168,compound_1,NR0B2_HUMAN,5,2.9310000000000003e-14,0.3167,0.3167,23.8455,NR0B2,Nuclear receptor subfamily 0 group B member 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
169,compound_1,NR1H4_HUMAN,5,2.5419999999999997e-14,0.3846,8.5971,23.9585,NR1H4,Bile acid receptor,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
171,compound_1,NU1M_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,MT-ND1,NADH-ubiquinone oxidoreductase chain 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
172,compound_1,NU2M_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,MT-ND2,NADH-ubiquinone oxidoreductase chain 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
173,compound_1,NU3M_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,MT-ND3,NADH-ubiquinone oxidoreductase chain 3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
174,compound_1,NU4LM_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,MT-ND4L,NADH-ubiquinone oxidoreductase chain 4L,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
175,compound_1,NU4M_HUMAN,5,1.94e-10,0.2941,0.2941,16.9863,MT-ND4,NADH-ubiquinone oxidoreductase chain 4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
176,compound_1,NU5M_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,MT-ND5,NADH-ubiquinone oxidoreductase chain 5,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
177,compound_1,NU6M_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,MT-ND6,NADH-ubiquinone oxidoreductase chain 6,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
178,compound_1,NUA4L_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA4L2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
185,compound_1,PACR_HUMAN,5,1.219e-40,0.3333,2.1943,71.2085,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
187,compound_1,PD2R_HUMAN,5,1.032e-06,0.3651,3.428,10.297,PTGDR,Prostaglandin D2 receptor,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
189,compound_1,PDIA1_HUMAN,5,8.165999999999999e-07,0.2951,0.5892,10.4799,P4HB,Protein disulfide-isomerase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
190,compound_1,PE2R2_HUMAN,5,2.75e-12,0.3651,6.5760000000000005,20.305,PTGER2,Prostaglandin E2 receptor EP2 subtype,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
191,compound_1,PE2R4_HUMAN,5,2.233e-07,0.3651,4.0438,11.4907,PTGER4,Prostaglandin E2 receptor EP4 subtype,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
192,compound_1,PERM_HUMAN,5,3.0639999999999995e-08,0.434,1.864,13.0395,MPO,Myeloperoxidase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
193,compound_1,PGH1_HUMAN,5,1.4210000000000001e-08,0.8857,5.5382,13.6387,PTGS1,Prostaglandin G/H synthase 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
195,compound_1,PPBI_HUMAN,5,1.486e-07,0.8857,1.1972,11.8085,ALPI,Intestinal-type alkaline phosphatase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
198,compound_1,PTGES_HUMAN,5,7.347000000000001e-10,0.8857,8.3319,15.9482,PTGES,Prostaglandin E synthase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
200,compound_1,PTN1_HUMAN,5,3.827e-11,0.4048,11.333,18.2519,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
201,compound_1,PTN6_HUMAN,5,8.356999999999999e-07,0.3636,0.6811,10.4618,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
202,compound_1,PTN7_HUMAN,5,7.967e-13,0.3529,4.0672,21.271,PTPN7,Tyrosine-protein phosphatase non-receptor type 7,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
220,compound_1,RARB_HUMAN,5,6.829000000000001e-07,0.35,2.1667,10.6192,RARB,Retinoic acid receptor beta,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
221,compound_1,S22A3_HUMAN,5,8.362e-07,0.36,0.36,10.4613,SLC22A3,Solute carrier family 22 member 3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
222,compound_1,SENP6_HUMAN,5,1.644e-06,0.3958,2.3596,9.9343,SENP6,Sentrin-specific protease 6,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
223,compound_1,SENP7_HUMAN,5,1.8219999999999999e-06,0.3958,3.5782,9.8541,SENP7,Sentrin-specific protease 7,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
224,compound_1,SGK2_HUMAN,5,6.807e-06,0.42,1.8322,8.8264,SGK2,Serine/threonine-protein kinase Sgk2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
225,compound_1,SHBG_HUMAN,5,9.955000000000001e-11,0.42,1.7176,17.5066,SHBG,Sex hormone-binding globulin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
227,compound_1,ST17B_HUMAN,5,1.2880000000000001e-14,0.3889,2.1585,24.4874,STK17B,Serine/threonine-protein kinase 17B,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
230,compound_1,TAOK1_HUMAN,5,8.13e-06,0.3962,2.6107,8.6879,TAOK1,Serine/threonine-protein kinase TAO1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
231,compound_1,TAU_HUMAN,5,8.570999999999997e-72,0.8857,14.0354,127.1378,MAPT,Microtubule-associated protein tau,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
233,compound_1,TBB1_HUMAN,5,1.4799999999999998e-98,0.449,12.3787,175.1854,TUBB1,Tubulin beta-1 chain,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
235,compound_1,TBB3_HUMAN,5,2.355e-22,0.4222,0.4222,38.379,TUBB3,Tubulin beta-3 chain,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
236,compound_1,TF65_HUMAN,5,4.885e-15,0.4186,2.5918,25.2374,RELA,Transcription factor p65,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
237,compound_1,TF_HUMAN,5,6.108e-12,0.8857,4.5239,19.6828,F3,Tissue factor,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
239,compound_1,TLR9_HUMAN,5,6.692e-11,1.0,3.2666,17.8164,TLR9,Toll-like receptor 9,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
240,compound_1,TNR1A_HUMAN,5,8.482e-52,0.4167,8.9997,91.2396,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
241,compound_1,TOP2A_HUMAN,5,3.5699999999999994e-66,0.6585,8.9463,117.0487,TOP2A,DNA topoisomerase 2-alpha,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
243,compound_1,TRPM5_HUMAN,5,3.3310000000000003e-16,0.322,2.121,27.2927,TRPM5,Transient receptor potential cation channel subfamily M member 5,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
245,compound_1,TRPV1_HUMAN,5,2.5419999999999997e-14,0.6087,21.6363,23.9572,TRPV1,Transient receptor potential cation channel subfamily V member 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
246,compound_1,TTHY_HUMAN,5,4.352e-20,0.54,3.0538,34.3097,TTR,Transthyretin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
